N_Plant,N_Flower,N_Animal,N_Water,N_Terrain,N_Color,N_Weather,F_active,F_recreation,F_cultural,F_stationary,F_catering,F_Transport,F_service,F_path,F_Sign,F_lights,Act_active,Act_stationary,Act_light,P_Tactile,P_Sound,P_Olf,P_Crowd,,,,,,,,
acacia,anther,acoelomate,anglers,alps,aquamarine,breeze,badminton,attraction,amphitheater,arbours,baker ,access,accommodation,alleys,arrow,backlit,adventure,break,activies,aching,abuzz,abysmal,busier,,,,,,,,
algae,aromas,alligator,aquatic,altitude,azure,breezes,ball,attractions,amphitheaters,awning,bakeries,accessibility,accommodations,archway,arrows,bleak,aerobic,brooding,activites,adhesive,acoustics,acrid,busy,,,,,,,,
algal,aromatic,alligators,basin,altitudes,beige,breezier,baseball,,amphitheatres,bench,bakery,accessible,aid,avenue,direction,bright,aerobics,chat,activities,bandaged,albums,air,busylovely,,,,,,,,
aloe,begonia,ikan,basins,basin,black,breezy,basketball,ballet,antique,benche,bar,berth,amenities,avenues,directions,brighten,aerobics,chatted,amble,battered,aloud,aroma,clogged,,,,,,,,
aloe,begonias,amphibian,beach,basins,blacks,chill,bat,ballroom,antiques,benched,barbeque,berthed,amenity,bikeways,graphs,brightens,alpine,chatting,ambled,bite,altercation,aromas,cluttered,,,,,,,,
amaranth,bloom,giraffe,beaches,bog,blue,chilled,bats,bandshell,arch,benches,barmen,berthing,amentities,boardwalk,guidepost,brighter,ambling,chess,ambling,bites,applaud,aromatic,congested,,,,,,,,
angiosperm,bloom,amphibians,beaches ,boggy,bluish,chilly,bball,bandstand,arched,benchesm,bars,boat,ammenities,boardwalks,hoardings,candle,aquathlon,chill,,biting,applauded,atrocious,congestion,,,      ,,,,,
arboret,bloom,pooches,beachfront,butte,bluish,cloudless,bladers,bandstands,arches,benchs,bbq,boats,arcades,boulevard,label,candles,ascend,chilling,anglers,bitten,applause,awful,crammed,,,,,,,,
arbors,bloomed,anaconda,beachside,caldera,bronze,cloudless,bmx ,boat,archway,cabanas,bbq,bus,atelier,boulevards,labelled,chandelier,ascending,communing,anglers,blistering,audible,balmy,cramped,,,,,,,,
artemisia,bloomed,pigeons,boardwalk,canal,brown,clouds,bouldering,boathouse,archways,cabin,beer,buses,auberges,breakwater,labels,dank,ascends,contemplation,anglers ,blisters,audibly,cense,cranwded,,,,,,,,
bamboo,bloomed,angelfish,boat,canyon,brownish,cloudy,boulders,boating,art,cabine,beverage,buss,barber,bridge,lose,dark,athletes,contemplative,barbecue,blunt,baa,cigarette,crowd,,,,,,,,
bamboos,blooming,mozzie,boaters,canyons,chartreuse,cold,bowling,boats,artefacts,cabins,biryani,busses,bathhouse,bridges,loses,darken,athletic,dozed,barbecued,bouncy,babble,cigarettes,crowded,,,,,,,,
banyan,blooming,insect,boating,cave,clayey,colder,boxing,darting,artifact,camphor,bisto,busstand,bathroom,broadwalk,losing,darkened,athletics,feed,barbecues,breeze,babbling,cologne,,,,,,,,,
banyans,blooms,mynahs,boats,caves,color,cool,,recreation,artifacts,chair,bistro,busstop,bathrooms,carriageway,loss,darkening,backpacking,feeding,barbecuing,breezes,ballad,dreadful,crowdedness,,,,,,,,
baobabs,blooms,animal,boats ,cliff,colored,damp,,camping,artificial,chairs,bistros,busstour,baths,causeway,losses,darkens,badminton,laid,barbeque,breezier,ballads,effluvium,crowder,,,,,,,,
basil,blooms,rooster,bombarded,cliffs,colors,dew,,campsite,artist,chalets,breakfast,cab,bathtub,connecter,lost,darker,ball,lay,barbeques,breezy,band,fetid,crowdier,,,,,,,,
